productId,name,dimensions_weight,dimensions_weightUnit,dimensions_length,dimensions_lengthUnit,dimensions_width,dimensions_widthUnit,dimensions_height,dimensions_heightUnit,dimensions_volume,dimensions_volumeUnit,constraints_minUnit,constraints_stepSize,packaging_unit,packaging_unitName,packaging_packageName,packaging_amountPerPackage,packaging_boxName,packaging_amountPerBox,packaging_palletName,packaging_amountPerPallet,group_name,variant_features_0_key,variant_features_0_value,variant_parentSku,variant_genericDisplayName,variant_index
PCA960CAFEMO2,ESMALTE AL AGUA COPPER CAFE,1.5,kg,11,cm,11,cm,13,cm,1573,cm³,6,6,1/4 GL,1/4 Galon,Display,6,Medio Pallet,228,Pallet,450,Esmalte al Agua,Color,CAFE,PCA960ECOPPBL2,ESMALTE AL AGUA COPPER 1/4 GALON,1
PCA960ECOPPBL2,ESMALTE AL AGUA COPPER BLANCO,1.5,kg,11,cm,11,cm,13,cm,1573,cm³,6,6,1/4 GL,1/4 Galon,Display,6,Medio Pallet,228,Pallet,450,Esmalte al Agua,Color,BLANCO,PCA960ECOPPBL2,ESMALTE AL AGUA COPPER 1/4 GALON,0
PANES930BL056,ESMALTE AL AGUA SEMIBRILLO 930 BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Esmalte al Agua,Color,BLANCO,PANES930BL056,ESMALTE AL AGUA SEMIBRILLO 930 BALDE,0
PCA108INCO006,ESMALTE ANTICORROSIVO DOBLE ACCION BASE OSCURA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pintura para Metales,Color,BASE OSCURA,PCA108BLAN006,ESMALTE ANTICORROSIVO DOBLE ACCION BALDE,1
PCA824PASELS6,PASTA ELASTICA BLANCA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pasta,Color,BLANCO,PCA824PASELS6,PASTA ELASTICA BALDE,0
PCA824PASTA06,PASTA MURO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pasta,,,,,
PCA904BASIN06,OLEO SEMI BRILLO BASE OSCURA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Oleo,Color,BASE OSCURA,PCA904BLAN056,OLEO SEMI BRILLO BALDE,1
PCA907BASE056,ZINC ACRYL BASE INCOLORA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pinturas Especiales,Color,BASE INCOLORA,PCA907BLAN056,ZINC ACRYL BALDE,1
PCA908BASIN06,IMPRIMANTE TEXTURA BASE INCOLORA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BASE INCOLORA,PCA912IMPTEX6,IMPRIMANTE TEXTURA BASE INCOLORA BALDE,1
PCA909BCOL006,ESTUCO HORMIGON BASE INCOLORA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BASE INCOLORA,PCA909BLAN006,ESTUCO HORMIGON BASE INCOLORA BALDE,1
PCA909BLAN006,ESTUCO HORMIGON BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BLANCO,PCA909BLAN006,ESTUCO HORMIGON BASE INCOLORA BALDE,0
PCA909G10BI06,ESTUCO ELASTOMERICO G-10 BASE INCOLORA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BASE INCOLORA,PCA909G10BL06,ESTUCO ELASTOMERICO G-10 BALDE,1
PCA909G10BL06,ESTUCO ELASTOMERICO G-10 BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BLANCO,PCA909G10BL06,ESTUCO ELASTOMERICO G-10 BALDE,0
PCA909G25BI06,ESTUCO ELASTOMERICO G-25 INCOLORO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,INCOLORO,PCA909G25BL06,ESTUCO ELASTOMERICO G-25 BALDE,1
PCA909G25BL06,ESTUCO ELASTOMERICO G-25 BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BLANCO,PCA909G25BL06,ESTUCO ELASTOMERICO G-25 BALDE,0
PCA909TEXREN6,TEXTURENE G-10 BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BLANCO,PCA909TEXREN6,TEXTURENE G-10 BALDE,0
PCA912EI10BL6,TEXTU EIFS G-10 BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BLANCO,PCA912EI10BL6,TEXTU EIFS G-10 BALDE,0
PCA912EI25BL6,TEXTU EIFS G-25 BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BLANCO,PCA912EI25BL6,TEXTU EIFS G-25 BALDE,0
PCA912EIFSIN6,TEXTU EIFS G-10 BASE INCOLORA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BASE INCOLORA,PCA912EI10BL6,TEXTU EIFS G-10 BALDE,1
PCA912G25BIN6,TEXTU EIFS G-25 BASE INCOLORA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BASE INCOLORA,PCA912EI25BL6,TEXTU EIFS G-25 BALDE,1
PCA912G10BI06,PROFINISH  G-10 BASE INCOLORA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BASE INCOLORA,PCA912G10BLA6,PROFINISH G-10 BALDE,1
PCA912G10BLA6,PROFINISH G-10 BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BLANCO,PCA912G10BLA6,PROFINISH G-10 BALDE,0
PCA912G25BI06,PROFINISH G-25 BASE INCOLORA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BASE INCOLORA,PCA912G25BL06,PROFINISH G-25 BALDE,1
PCA912G25BL06,PROFINISH G-25 BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BLANCO,PCA912G25BL06,PROFINISH G-25 BALDE,0
PCA912IMPTEX6,IMPRIMANTE TEXTURA BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BLANCO,PCA912IMPTEX6,IMPRIMANTE TEXTURA BASE INCOLORA BALDE,0
PCA916LOSA006,PASTA LOSA PLUS,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pasta,,,,,
PCA920INCOBR6,SELLADOR PAPEL COPPER,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Sellador,,,,,
PCA922BOSC056,ESMALTE SINTETICO BASE OSCURA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pintura para Metales,Color,BASE OSCURA,PCA922BLAN056,ESMALTE SINTETICO BALDE,2
PCA925BLAN056,HIDRO COPPER BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pinturas Especiales,Color,BLANCO,PCA925BLAN056,HIDRO COPPER BALDE,0
PCA927BLANCO6,LATEX ELASTOMERICO BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Latex,Color,BLANCO,PCA927BLANCO6,LATEX ELASTOMERICO BALDE,0
PCA929BOSC06,LATEX SUPER CUBRIENTE BASE OSCURA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Latex,Color,BASE OSCURA,PCAEXTRACUB06,LATEX SUPER CUBRIENTE BALDE,1
PCA950PESTU06,PASTA ESTUCRYL,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pasta,,,,,
PCA952ELEIFS6,PASTA ADHESIVA EIFS,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pasta,,,,,
PCA953TEXDUR6,TEXDUR,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,,,,,
PCA970GRISAC6,ESMALTE ACRILICO GRIS,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Esmalte al Agua,Color,GRIS,PCA970GRISAC6,ESMALTE ACRILICO BALDE,0
PCAPLUS920BI6,SELLADOR ACRILICO INCOLORO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Sellador,Color,INCOLORO,PCAPLUS920BL6,SELLADOR ACRILICO BALDE,1
PCAPLUS920BL6,SELLADOR ACRILICO BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Sellador,Color,BLANCO,PCAPLUS920BL6,SELLADOR ACRILICO BALDE,0
PCAPLUS921056,FIBRO COPPER INCOLORO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pinturas Especiales,Color,INCOLORO,PCA921NEGRO06,FIBRO COPPER BALDE,3
PCASMARTBO06,SMART COPPER BASE OSCURA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pinturas Especiales,Color,BASE OSCURA,PCASPSNLAN006,SMART COPPER BALDE,2
PCASPSNEGR006,SMART COPPER NEGRO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pinturas Especiales,Color,NEGRO,PCASPSNLAN006,SMART COPPER BALDE,1
PCASPSNLAN006,SMART COPPER BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pinturas Especiales,Color,BLANCO,PCASPSNLAN006,SMART COPPER BALDE,0
PANES930BL001,ESMALTE AL AGUA SEMIBRILLO BLANCO ,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Galon,Display,4,Medio Pallet,72,Pallet,144,Esmalte al Agua,Color,BLANCO,PANES930BL001,ESMALTE AL AGUA SEMIBRILLO GALON,0
PCA904BASIN01,OLEO SEMI BRILLO BASE OSCURA,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Galon,Display,4,Medio Pallet,72,Pallet,144,Oleo,Color,BASE OSCURA,PCA904BLAN001,OLEO SEMIBRILLO GALON,1
PCA907BASE001,ZINC ACRYL BASE INCOLORA,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Galon,Display,4,Medio Pallet,72,Pallet,144,Pinturas Especiales,Color,BASE INCOLORA,PCA907BLAN001,ZINC ACRYL GALON,5
PCA922BOSC001,ESMALTE SINTETICO BASE OSCURA,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Galon,Display,4,Medio Pallet,72,Pallet,144,Pintura para Metales,Color,BASE OSCURA,PCA922BLAN001,ESMALTE SINTETICO GALON,10
PCA925BLAN001,HIDRO COPPER BLANCO,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Galon,Display,4,Medio Pallet,72,Pallet,144,Pinturas Especiales,Color,BLANCO,PCA925BLAN001,HIDRO COPPER GALON,0
PCA926BOSC001,OLEO BRILLANTE BASE OSCURA,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Galon,Display,4,Medio Pallet,72,Pallet,144,Oleo,Color,BASE OSCURA,PCA926BLAN001,OLEO BRILLANTE GALON,10
PCA941CLIBH01,ESMALTE AL AGUA CLINIC COPPER BEIGE HOSPITALARIO,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Galon,Display,4,Medio Pallet,72,Pallet,144,Esmalte al Agua,Color,BEIGE HOSPITALARIO,PCA941CLIBL01,ESMALTE AL AGUA CLINIC COPPER GALON,1
PCA941CLIBL01,ESMALTE AL AGUA CLINIC COPPER BLANCO HOSPITALARIO,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Galon,Display,4,Medio Pallet,72,Pallet,144,Esmalte al Agua,Color,BLANCO HOSPITALARIO,PCA941CLIBL01,ESMALTE AL AGUA CLINIC COPPER GALON,0
PCA941CLICC01,ESMALTE AL AGUA CLINIC COPPER CELESTE CLINICO,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Galon,Display,4,Medio Pallet,72,Pallet,144,Esmalte al Agua,Color,CELESTE CLINICO,PCA941CLIBL01,ESMALTE AL AGUA CLINIC COPPER GALON,2
PCA941CLIGB01,ESMALTE AL AGUA CLINIC COPPER GRIS BOX,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Galon,Display,4,Medio Pallet,72,Pallet,144,Esmalte al Agua,Color,GRIS BOX,PCA941CLIBL01,ESMALTE AL AGUA CLINIC COPPER GALON,3
PCA941CLIRM01,ESMALTE AL AGUA CLINIC COPPER ROSA MATERNO,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Galon,Display,4,Medio Pallet,72,Pallet,144,Esmalte al Agua,Color,ROSA MATERNO,PCA941CLIBL01,ESMALTE AL AGUA CLINIC COPPER GALON,4
PCA941CLIVU01,ESMALTE AL AGUA CLINIC COPPER VERDE URGENCIA,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Galon,Display,4,Medio Pallet,72,Pallet,144,Esmalte al Agua,Color,VERDE URGENCIA,PCA941CLIBL01,ESMALTE AL AGUA CLINIC COPPER GALON,5
PCAPLUS921001,FIBRO COPPER INCOLORO,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Galon,Display,4,Medio Pallet,72,Pallet,144,Pinturas Especiales,Color,INCOLORO,PCA921NEGRO01,FIBRO COPPER GALON,10
PCASMARTBO001,SMART COPPER BASE OSCURA,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Galon,Display,4,Medio Pallet,72,Pallet,144,Pinturas Especiales,Color,BASE OSCURA,PCASPSBLAN001,SMART COPPER GALON,1
PCASPSBLAN001,SMART COPPER BLANCO,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Galon,Display,4,Medio Pallet,72,Pallet,144,Pinturas Especiales,Color,BLANCO,PCASPSBLAN001,SMART COPPER GALON,0
PCA922BLAN056,ESMALTE SINTETICO BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pintura para Metales,Color,BLANCO,PCA922BLAN056,ESMALTE SINTETICO BALDE,0
PCA922NEGRO06,ESMALTE SINTETICO NEGRO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pintura para Metales,Color,NEGRO,PCA922BLAN056,ESMALTE SINTETICO BALDE,1
PCA108BLAN006,ESMALTE ANTICORROSIVO DOBLE ACCION BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pintura para Metales,Color,BLANCO,PCA108BLAN006,ESMALTE ANTICORROSIVO DOBLE ACCION BALDE,0
PCA108GRIS006,ESMALTE ANTICORROSIVO DOBLE ACCION GRIS,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pintura para Metales,Color,GRIS,PCA108BLAN006,ESMALTE ANTICORROSIVO DOBLE ACCION BALDE,2
PCA108NEGR006,ESMALTE ANTICORROSIVO DOBLE ACCION NEGRO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pintura para Metales,Color,NEGRO,PCA108BLAN006,ESMALTE ANTICORROSIVO DOBLE ACCION BALDE,3
PCA113POLNAT6,STAIN  NATURAL,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Barnices,Color,NATURAL,PCA113POLNAT6,STAIN  BALDE,0
PCA106BANAT06,BARNIZ MARINO NATURAL,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Barnices,Color,NATURAL,PCA106BANAT06,BARNIZ MARINO BALDE,0
PCA904BLAN056,OLEO SEMI BRILLO BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Oleo,Color,BLANCO,PCA904BLAN056,OLEO SEMI BRILLO BALDE,0
PCA926BLAN056,OLEO BRILLANTE BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Oleo,Color,BLANCO,PCA926BLAN056,OLEO BRILLANTE BALDE,0
PCA910BLAN056,OLEO OPACO BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Oleo,Color,BLANCO,PCA910BLAN056,OLEO OPACO BALDE,0
PCA106BLANCO6,ANTICORROSIVO ESTRUCTURAL BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pintura para Metales,Color,BLANCO,PCA106BLANCO6,ANTICORROSIVO ESTRUCTURAL BALDE,1
PCA106GRIS006,ANTICORROSIVO ESTRUCTURAL GRIS,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pintura para Metales,Color,GRIS,PCA106BLANCO6,ANTICORROSIVO ESTRUCTURAL BALDE,2
PCA106NEGRO06,ANTICORROSIVO ESTRUCTURAL NEGRO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pintura para Metales,Color,NEGRO,PCA106BLANCO6,ANTICORROSIVO ESTRUCTURAL BALDE,3
PCA106OCRE055,ANTICORROSIVO ESTRUCTURAL OCRE,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pintura para Metales,Color,OCRE,PCA106BLANCO6,ANTICORROSIVO ESTRUCTURAL BALDE,4
PCA106ROJO006,ANTICORROSIVO ESTRUCTURAL ROJO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pintura para Metales,Color,ROJO,PCA106BLANCO6,ANTICORROSIVO ESTRUCTURAL BALDE,5
PCA907BLAN056,ZINC ACRYL BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pinturas Especiales,Color,BLANCO,PCA907BLAN056,ZINC ACRYL BALDE,0
PCA907GRIS056,ZINC ACRYL GRIS,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pinturas Especiales,Color,GRIS,PCA907BLAN056,ZINC ACRYL BALDE,3
PCA907NEGRO06,ZINC ACRYL NEGRO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pinturas Especiales,Color,NEGRO,PCA907BLAN056,ZINC ACRYL BALDE,4
PCA907ROJO056,ZINC ACRYL ROJO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pinturas Especiales,Color,ROJO,PCA907BLAN056,ZINC ACRYL BALDE,5
PCA907VERD056,ZINC ACRYL VERDE,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pinturas Especiales,Color,VERDE,PCA907BLAN056,ZINC ACRYL BALDE,6
PCA960ECOPBL6,ESMALTE AL AGUA COPPER BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Esmalte al Agua,Color,BLANCO,PCA960ECOPBL6,ESMALTE AL AGUA COPPER BALDE (4GL),0
PCA941CLIBL06,ESMALTE AL AGUA CLINIC COPPER BLANCO HOSPITALARIO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Esmalte al Agua,Color,BLANCO HOSPITALARIO,PCA941CLIBL06,ESMALTE AL AGUA CLINIC COPPER BALDE,0
PCA915BLANC06,ESMALTE AL AGUA OPACO BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Esmalte al Agua,Color,BLANCO,PCA915BLANC06,ESMALTE AL AGUA OPACO BALDE,0
PCA921AZULCA6,FIBRO COPPER AZUL CANADA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pinturas Especiales,Color,AZUL CANADA,PCA921NEGRO06,FIBRO COPPER BALDE,2
PCA921GRISOS6,FIBRO COPPER GRIS OSCURO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pinturas Especiales,Color,GRIS OSCURO,PCA921NEGRO06,FIBRO COPPER BALDE,1
PCA921NEGRO06,FIBRO COPPER NEGRO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pinturas Especiales,Color,NEGRO,PCA921NEGRO06,FIBRO COPPER BALDE,0
